Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
5958585,MSM_CONDOMUSE_PERCENT,COUNTRY,VNM,WPR,YEAR,Western Pacific,,2016,,,,,,DATASOURCE,DATASOURCE_GAM,57.3,57.3,,,,2025-03-20T10:33:15.227+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
4009179,MSM_CONDOMUSE_PERCENT,COUNTRY,VNM,WPR,YEAR,Western Pacific,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,66.4,66.4,,,,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
10152174,MSM_CONDOMUSE_PERCENT,COUNTRY,COG,AFR,YEAR,Africa,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,52.3,52.3,,,,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
1525462,MSM_CONDOMUSE_PERCENT,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2018,,,,,,DATASOURCE,DATASOURCE_GAM,44.9,44.9,,,Source: IBBS,2025-03-20T10:33:15.227+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
4762892,MSM_CONDOMUSE_PERCENT,COUNTRY,KEN,AFR,YEAR,Africa,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,54.9,54.9,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
5142182,MSM_CONDOMUSE_PERCENT,COUNTRY,ITA,EUR,YEAR,Europe,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,65.4,65.4,,,Source: National AIDS Center- Istituto Superiore di Sanità Rome Italy;  ^Direzione Generale della Prevenzione Sanitaria - Ministero della Salute Rome Italy;,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
7315259,MSM_CONDOMUSE_PERCENT,COUNTRY,MKD,EUR,YEAR,Europe,,2017,,,,,,DATASOURCE,DATASOURCE_GAM,51.3,51.3,,,Source: Behaviour Surveillance Survey 2017,2025-03-20T10:33:15.227+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
280331,MSM_CONDOMUSE_PERCENT,COUNTRY,KAZ,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,76.4,76.4,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
400511,MSM_CONDOMUSE_PERCENT,COUNTRY,DEU,EUR,YEAR,Europe,,2017,,,,,,DATASOURCE,DATASOURCE_GAM,50.1,50.1,,,Source: MSM online survey EMIS-2017,2025-03-20T10:33:15.227+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
3901946,MSM_CONDOMUSE_PERCENT,COUNTRY,GHA,AFR,YEAR,Africa,,2023,,,,,,DATASOURCE,DATASOURCE_GAM,58,58.0,,,Source: Behavioral surveillance survey 2023,2025-03-20T10:33:15.227+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
