,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
1009,BRN,1997.0,11.628914,8.2212441,6.0,,,,,,0.0
1010,KHM,2022.0,4.3638762,9.6726418,,13.272564,,,,76.71942,47.85
1011,LUX,2002.0,16.678722,6.4676687,6.5,26.140175,,,78.80641336,97.69531,0.0
1012,ECU,2004.0,15.500714,6.0233787,5.5,21.631189,15.0,,73.96568777,73.76065,8.5
1013,PRI,1993.0,19.832309,11.835607,,,,,,,0.0
1014,DMA,2001.0,17.874739,15.493022,8.0,20.252716,,,,65.29825,19.3
1015,HUN,2019.0,29.625481,14.54376,,27.551743,,,76.33548535,97.98614,0.0
1016,NRU,2019.0,69.169968,21.039902,,36.409584,,,,65.93204,0.0
1017,BRB,2022.0,38.024801,27.919507,,44.032654,,,,98.09246,0.0
1018,QAT,2001.0,26.879373,13.869017,11.3,45.625721,,,70.31526721,99.93655,0.0
1019,MKD,2006.0,19.498672,7.5301886,7.4,22.691059,,,73.8246386,89.74484,36.7
1020,KWT,1992.0,29.285771,13.261476,9.7,,,,,,0.0
1021,AUT,2001.0,12.275439,6.4401135,5.6,32.499866,,,78.64264138,99.99999,0.0
1022,KHM,2008.0,1.7037226,3.7256975,4.9,13.373094,,,65.7502876,31.78361,90.8
1023,EGY,2008.0,34.418836,14.565381,13.2,31.729279,3.9,,69.77109335,93.73995,1.6
1024,GRL,1993.0,14.56933,3.9914556,,,,,,,
1025,KEN,1992.0,2.5420491,3.2237563,2.2,,,,,,99.6
1026,KEN,2022.0,12.410276,4.2902716,,8.9172421,,,,36.52872,71.5
1027,ASM,1991.0,63.832062,17.683297,,,,,,,
1028,SLB,1998.0,15.109012,5.6371693,7.0,,,,,,91.4
1029,PER,2014.0,20.006402,8.9078479,6.9,30.354824,3.7,,80.00001335,73.72803,26.6
1030,MRT,2016.0,18.489343,8.1410572,,44.438995,,,69.65770027,43.56515,55.1
1031,BRB,1996.0,19.228935,13.511738,8.4,,,,,,0.0
1032,VNM,2010.0,0.6988436,4.6894431,4.5,21.465141,4.2,,72.48813081,69.40269,49.1
1033,SLV,2005.0,21.121182,8.5354939,7.8,32.177074,10.4,,73.40349475,81.86852,32.2
1034,VCT,2022.0,33.24897,16.590787,,30.457857,,,,,9.6
1035,SAU,2013.0,35.622826,16.302525,13.8,54.75729,,,77.33139242,95.27469,0.0
1036,CZE,2008.0,20.601819,8.0316648,8.9,23.332079,0.0,,77.1537423,99.12641,0.0
1037,IRQ,1996.0,23.230432,10.654556,7.9,,,,,,57.5
1038,KOR,2002.0,2.5470763,7.8704692,7.2,29.315722,,,76.94317285,100.0,0.0
1039,VNM,2000.0,0.30567995,3.9307792,3.7,16.021688,,,71.87399979,49.95978,86.8
1040,KOR,2022.0,7.3305406,14.526083,,58.063519,,,,99.81678,0.0
1041,SVK,2020.0,25.495124,11.245535,,23.445715,,,76.86888148,97.53263,0.0
1042,TKM,2007.0,14.851871,14.477304,7.2,15.073533,,,66.17071827,94.32091,0.2
1043,KEN,2019.0,10.942467,3.9993759,,9.2491589,,,66.50141922,35.29579,79.4
1044,ECU,2008.0,17.640609,6.9621287,6.1,21.555241,7.5,,74.40727021,78.17546,6.9
1045,BTN,2021.0,11.582124,13.610876,,9.913084,,,74.87642848,77.94886,10.5
1046,STP,2007.0,9.8979026,7.5156696,5.0,17.897854,,,67.22798633,29.19009,99.3
1047,GUY,2016.0,24.14479,18.411168,,32.369267,,,67.56739413,87.31699,0.0
1048,ZMB,2013.0,7.1706749,5.7181228,4.1,15.150328,,82.0,59.35535185,30.85703,84.9
1049,ISL,2009.0,18.038103,5.054998,7.1,29.646885,0.0,,81.49587558,98.78557,0.0
1050,DZA,1995.0,11.490971,8.7012887,5.5,,,,,,7.2
1051,COD,1997.0,1.9252723,5.8079246,2.7,,,,,,99.4
1052,LTU,2008.0,22.053722,10.053521,8.8,22.658289,1.5,,71.62596428,88.15087,0.0
1053,ROU,2013.0,23.026571,9.5249608,8.2,28.106495,7.2,21.0,75.00346495,81.51375,0.0
1054,NPL,1995.0,0.7689042,6.7395896,4.8,,,,,,98.9
1055,VCT,2003.0,20.745413,9.0535492,7.7,25.3367,,,72.24268792,71.45503,4.2
1056,EMR,2011.0,21.165502,14.065365,10.1,34.809082,,,68.18516686,69.36834,32.96
1057,NIU,2013.0,61.668473,29.514417,25.8,9.9443731,,10.0,,98.58643,3.6
1058,LAO,2022.0,8.0098711,9.5457807,,15.83667,,,,79.51363,89.7
1059,TCD,2020.0,6.11021,8.4849678,,18.110836,,,59.21180605,12.55032,92.6
1060,KHM,2017.0,3.1408381,6.4856365,,13.152419,,,69.12694998,60.41786,72.9
1061,EGY,2000.0,27.844524,10.905963,10.6,30.625618,,,69.14860157,91.2317,17.8
1062,GMB,2022.0,14.932996,11.265266,,21.154228,,,,47.71599,98.3
1063,USA,1997.0,24.635816,8.4827669,6.7,,,,,,0.0
1064,VUT,2013.0,18.683463,14.354025,12.7,9.5028925,,85.0,66.60736544,51.47626,87.0
1065,WPR,1994.0,1.979002,5.1601361,4.8,,,,,,58.6
1066,AND,1998.0,13.047101,6.8900846,8.4,,,,,,0.0
1067,OMN,2009.0,23.665412,12.704507,7.8,35.496803,,,73.06401823,95.45707,0.0
1068,SWZ,2012.0,23.180065,7.7421375,6.4,21.130554,,,49.10836702,58.25001,58.0
1069,BLZ,1994.0,20.58809,6.4996704,6.3,,,,,,28.5
1070,RUS,1996.0,17.496571,5.7892546,7.8,,,,,,0.0
1071,DJI,1995.0,2.910658,4.9753871,5.1,,,,,,96.6
1072,MHL,1997.0,36.638793,23.450966,13.8,,,,,,96.5
1073,KGZ,1994.0,10.183828,6.4215288,4.9,,,,,,56.1
1074,BMU,2013.0,27.000463,21.452807,,,,,,,
1075,SAU,2008.0,32.465133,17.39143,11.5,56.152229,,,72.99776938,95.23445,0.0
1076,UGA,2019.0,6.4514853,3.3500541,,5.914885,,,66.0878394,20.40809,98.7
1077,CIV,2000.0,4.5387909,4.7414694,3.8,25.019941,,,51.16878476,20.6835,84.1
1078,AUT,2012.0,14.16579,7.0897318,5.9,25.510675,0.5,,80.71875852,99.98231,0.0
1079,VEN,1995.0,16.107512,6.4672567,6.5,,,,,,2.1
1080,QAT,2022.0,43.141672,18.684533,,53.482586,,,,99.93655,0.0
1081,UZB,1997.0,10.423887,6.1553881,4.6,,,,,,18.6
1082,IRL,1993.0,14.830109,4.7522951,5.3,,,,,,0.0
1083,URY,2012.0,25.01168,13.574287,10.7,31.195911,0.1,,76.40566239,95.73861,0.0
1084,JOR,2002.0,31.369072,12.69716,9.5,26.571877,1.1,,72.9283168,98.65138,0.2
1085,BEN,1996.0,3.2933787,3.7147384,3.3,,,,,,99.8
1086,BDI,2000.0,1.5583701,5.204203,1.8,17.806818,,,44.3609182,45.21474,99.7
1087,VNM,2022.0,2.0157427,11.298789,,30.318979,,,,92.17034,1.9
1088,GMB,2017.0,11.81039,9.2393726,,21.173557,,,64.31746247,46.90722,98.1
1089,AGO,2005.0,6.7420311,11.286278,4.2,20.834436,,,53.34585395,34.72264,57.2
1090,CZE,2018.0,24.19261,10.441664,,23.224445,,,78.89195159,99.13735,0.0
1091,KGZ,2008.0,17.423478,7.4676089,6.8,17.405838,4.0,,68.29544912,94.56653,31.8
1092,CIV,2015.0,8.9751862,7.2196178,,20.83712,28.2,,60.9342411,31.48752,74.1
1093,SRB,2014.0,18.943582,11.890376,8.6,45.983795,,,75.32134955,97.17428,28.2
1094,WPR,2007.0,3.728939,7.0063725,7.3,22.465797,,,74.54521674,72.81397,44.38
1095,TLS,1991.0,0.29740976,2.9919041,2.3,,,,,,99.8
1096,IRL,1992.0,14.256483,4.7278717,5.2,,,,,,0.0
1097,AFR,2009.0,8.402201,6.6037104,4.6,19.720467,,,58.84133306,29.38324,84.98
1098,WPR,1991.0,1.717489,4.7871966,4.5,,,,,,60.32
1099,CHL,2018.0,35.037577,14.134775,,35.001671,,,80.96185803,100.0,0.0
1100,LAO,2009.0,4.0230986,5.0204523,5.1,15.800895,,,63.79585544,53.80535,96.8
1101,ERI,2010.0,2.3766637,5.8318153,3.0,12.327309,,,60.44258181,11.20194,91.8
1102,PRY,2009.0,22.738841,8.6771302,6.0,27.858479,5.8,,74.78626703,81.05453,44.4
1103,ZMB,2021.0,10.544077,9.044873,,14.156975,,,60.96884286,36.242,89.8
1104,SSD,2020.0,7.8027949,7.1393266,,16.256016,,,58.94518456,15.84482,100.0
1105,KGZ,1996.0,10.925025,6.5935753,5.1,,,,,,53.2
1106,MRT,2009.0,14.638069,6.439247,6.0,52.421581,,,68.08446898,30.7676,59.65
1107,ESP,2007.0,19.700879,9.5455959,8.8,35.223728,0.4,,80.67591348,99.85588,0.0
1108,BLR,1994.0,17.02642,4.9897354,7.3,,,,,,16.8
1109,POL,2005.0,18.897688,6.7782082,7.8,25.158829,0.1,,74.89551806,90.92025,0.0
1110,BDI,2019.0,4.2229492,6.3655928,,14.306426,,,64.3185906,45.74528,99.85
1111,DEU,2016.0,20.395663,10.434143,,14.079838,,,80.68537775,99.22493,0.0
1112,AUS,2005.0,22.570956,5.9460014,7.0,26.579237,,,80.84134964,99.99325,0.0
1113,GBR,1991.0,12.569231,5.5632964,6.1,,,,,,0.0
1114,NIU,2020.0,65.479696,28.803799,,7.7740102,,,,97.42536,1.6
1115,TTO,2009.0,23.802321,21.346238,9.8,39.75182,,,72.84103384,92.32145,0.0
1116,SEAR,2021.0,7.591943,18.562932,,39.400482,,,68.36682977,76.69096,32.96
1117,UGA,2021.0,7.3803574,3.5237372,,5.6575413,,,65.98577935,20.81214,98.5
1118,DEU,2001.0,18.236382,8.9729667,6.5,19.984379,0.0,,78.44285248,99.21873,0.0
1119,SEAR,2013.0,4.852301,13.745129,7.6,31.497597,,62.60039,69.37293715,56.36427,58.13
1120,CZE,2005.0,19.873811,7.4645236,8.6,23.542223,0.0,,75.99869845,99.12072,0.0
1121,WB_LI,2007.0,5.2938353,6.8269923,4.1,18.007145,,,58.89891622,,
1122,MNG,1990.0,7.4649334,5.1349465,5.0,,,,,,79.5
1123,BFA,2009.0,3.0886631,4.5794282,3.7,16.508127,55.3,,58.06655977,16.93363,94.5
1124,FRA,2001.0,11.962803,6.3096039,7.0,38.271202,,,79.01103311,98.66226,0.0
1125,DZA,2012.0,18.755415,12.955166,9.7,26.22971,,,75.63920415,87.09354,0.6
1126,ARE,2007.0,29.471552,20.449279,7.1,53.392265,,,80.5952165,99.13433,0.0
1127,URY,2011.0,24.283564,13.281207,10.6,30.978437,0.1,,76.59711654,95.44424,0.0
1128,GRL,2014.0,23.926583,6.7436092,,,,,,,
1129,KEN,1999.0,3.9434612,3.6497451,2.6,,,,,,98.6
1130,NOR,1997.0,10.537378,5.908782,6.1,,,,,,0.0
1131,MOZ,1992.0,1.8792855,4.3576181,2.7,,,,,,98.1
1132,NPL,2018.0,5.3428523,12.431931,,8.5461702,,,71.10245577,69.20789,64.9
1133,LBN,2015.0,27.37675,16.920657,,51.460243,,,78.43741249,93.94305,
1134,STP,2018.0,14.266124,12.05799,,17.822916,,,71.4403986,43.7952,97.1
1135,GRL,2021.0,26.612467,7.2796158,,,,,,,
1136,QAT,1992.0,19.651669,10.461721,8.2,,,,,,0.0
1137,SVN,2014.0,16.602032,11.59258,9.5,18.612885,0.0,,80.78508516,98.68473,0.0
1138,KOR,1999.0,2.2255301,7.4765034,6.9,,,,,,0.0
1139,SLE,2015.0,6.0945209,7.6380961,,13.953003,,,56.88673236,16.65829,99.4
1140,SAU,2015.0,36.818999,16.283423,,54.134132,,,76.88889936,95.29092,0.0
1141,GRC,2010.0,23.909095,10.56178,8.7,32.011513,1.0,,80.23861699,98.56525,0.0
1142,OMN,1995.0,15.552288,11.007224,6.0,,,,,,0.0
1143,LKA,2003.0,3.0376852,9.9951178,5.3,20.403687,,,73.36803088,79.16892,81.5
1144,GRD,1992.0,12.451039,8.2545407,5.7,,,,,,13.1
1145,SLV,2008.0,22.90715,9.5328435,8.1,33.345673,6.7,,74.41041249,82.98289,26.9
1146,MRT,2010.0,15.159988,6.6674881,6.1,51.277306,,,68.45329118,32.48285,58.9
1147,TLS,2021.0,2.1798471,5.7183079,,26.290735,,,67.99671222,57.32603,83.7
1148,GLOBAL,2009.0,11.251219,9.5912032,7.5,26.022211,,,70.21807678,65.88329,43.865647377
1149,CIV,1994.0,2.9044271,4.3465663,3.3,,,,,,84.0
1150,KOR,2019.0,6.0895544,12.908424,,53.296661,,,83.68842093,99.85401,0.0
1151,VEN,2009.0,22.220832,9.796463,8.1,40.353752,,,74.56885736,91.30679,3.1
1152,UGA,2004.0,2.5761275,3.2803826,2.1,10.076625,,,53.13418916,17.2487,99.2
1153,ESP,2008.0,19.678493,9.3140259,8.9,34.364597,0.5,,80.97341639,99.86304,0.0
1154,YEM,2019.0,12.185182,12.485421,,27.800432,,,66.89863946,53.62694,47.3
1155,THA,2011.0,9.5605955,9.4043568,8.8,21.553041,0.0,,75.71879745,95.72518,25.7
1156,MKD,2013.0,22.66286,9.9406503,8.3,23.804352,5.2,33.0,75.43073243,94.12237,28.3
1157,LVA,1999.0,17.121744,6.4897455,8.1,,,,,,0.0
1158,SEN,2018.0,8.991199,6.293048,,17.052286,,,68.44236378,55.99604,71.2
1159,AGO,2010.0,8.0547146,12.473232,5.0,19.48488,,,57.96461105,41.06079,55.3
1160,RUS,2020.0,23.783173,10.024561,,17.224182,,,71.37748039,88.94291,0.0
1161,BRB,2015.0,32.953998,24.828494,,41.130543,,,76.29023437,96.35542,0.0
1162,IDN,1990.0,1.475406,4.0915966,3.6,,,,,,97.7
1163,UKR,1990.0,16.493107,5.4893374,7.3,,,,,,17.4
1164,TTO,2020.0,27.299884,29.062548,,43.741795,,,73.63599489,93.91521,0.0
1165,ITA,2017.0,16.610366,10.420838,,41.006054,,,82.52191209,99.88534,0.0
1166,GNB,1995.0,2.7908223,5.1225547,3.1,,,,,,98.3
1167,POL,1999.0,16.223936,5.9212416,7.1,,,,,,0.0
1168,MWI,2022.0,7.7355236,3.6892436,,2.6952345,,,,49.24129,98.4
1169,ETH,2015.0,1.7799549,4.8069302,,10.365427,27.3,,67.10395358,7.43845,95.7
1170,LBY,2007.0,29.347777,16.000096,10.5,37.861393,,,74.50020642,91.10877,
1171,SWZ,2007.0,20.131856,7.2771423,5.8,22.652981,,,43.59627355,53.90525,65.5
1172,BOL,2015.0,22.760753,12.223766,,21.973452,6.4,,71.94895895,56.63695,17.8
1173,BOL,2017.0,24.359044,13.149445,,22.08934,5.8,,72.44784311,60.18194,15.7
1174,ZWE,2006.0,8.2676142,8.5391074,4.4,19.022865,,,46.40915188,43.63137,68.3
1175,STP,2010.0,11.105659,8.4102675,5.2,17.860931,32.3,,68.81769379,33.15282,98.9
1176,AND,2018.0,17.404455,9.1572151,,28.479269,,,,100.0,0.0
1177,LVA,2017.0,22.96989,10.672632,,15.698528,,,74.9627685,92.39536,0.0
1178,ARE,1993.0,20.802222,13.683924,6.1,,,,,,0.0
1179,EMR,2005.0,17.531057,11.545459,8.4,31.664562,,,66.40715771,62.86487,37.98
1180,TCD,1997.0,1.6975405,4.9252499,3.0,,,,,,96.7
1181,MAR,1992.0,8.5223123,8.4017083,5.2,,,,,,20.2
1182,VEN,1990.0,13.161758,5.320603,5.8,,,,,,1.9
1183,NIC,1998.0,18.312299,5.9744723,5.4,,,,,,68.5
1184,DJI,2021.0,10.821863,7.5473517,,16.976023,,,64.87227149,66.81163,90.2
1185,TUR,1996.0,21.70144,6.9998436,7.0,,,,,,14.0
1186,SUR,2000.0,15.700322,10.060604,8.1,35.774708,,,70.55904903,78.02613,24.8
1187,PSE,2016.0,35.766298,14.295225,,33.232765,,,74.99064876,96.73006,
1188,MYS,2007.0,13.268848,12.018049,8.6,41.169357,0.5,,74.43641055,94.27904,2.3
1189,GUY,2015.0,23.43085,17.937443,,31.901926,,,66.95276619,86.70796,0.0
1190,SLV,1993.0,13.794465,5.2099161,5.6,,,,,,59.2
1191,CPV,2015.0,12.41436,7.7264175,,27.868568,,,74.82831017,70.37171,24.7
1192,HND,2010.0,21.26793,7.7517167,6.4,31.612543,15.0,,70.83426628,74.03954,57.5
1193,LSO,2016.0,17.684132,5.2196432,,8.568469,,,49.94866988,42.62515,59.2
1194,JAM,1996.0,13.995452,7.1792699,6.2,,,,,,34.5
1195,GHA,2010.0,9.7868018,4.8404966,4.5,18.997995,,,61.9748058,14.99044,84.7
1196,ASM,2022.0,75.205326,30.24562,,,,,,,
1197,MOZ,2021.0,9.7347498,5.9015155,,9.4609852,,,57.66202708,36.07188,93.5
1198,SYR,2016.0,31.320381,18.36914,,35.860722,,,60.12484476,92.90464,4.4
1199,BRN,2015.0,25.722808,13.72852,,30.314138,,,76.55761257,90.96438,0.0
1200,SSD,2000.0,2.861264,5.2699469,,19.485727,,,51.90046634,,99.6
1201,VUT,2021.0,20.924531,19.578959,,7.651989,,,66.3483713,47.26155,81.9
1202,LSO,1992.0,8.1014737,4.4024639,3.9,,,,,,93.1
1203,SGP,2009.0,6.9422789,10.189147,8.8,23.642221,,,81.58275269,100.0,0.0
1204,BHS,2002.0,30.719671,11.97923,9.7,37.526268,,,71.58107452,88.63798,0.0
1205,KNA,1993.0,22.226056,8.7037846,7.3,,,,,,0.0
1206,MNE,2018.0,16.582115,12.423173,,21.7917,,,77.222772,97.21425,38.4
1207,NRU,2004.0,66.140139,23.864771,26.9,42.720066,,,,65.61217,0.0
1208,ETH,2016.0,1.8981637,4.8544772,,10.192102,,,67.58767511,7.74355,95.3
1209,SSD,1992.0,1.8371057,4.4867944,,,,,,,99.0
1210,GMB,2018.0,12.379913,9.5976509,,21.137083,,,64.60661374,47.04853,98.1
1211,BTN,2004.0,4.4028718,10.117228,7.4,11.610896,,,68.88514264,52.8442,57.5
1212,MDA,1990.0,18.198287,5.0472815,5.7,,,,,,60.6
1213,ISR,2008.0,21.474886,10.161348,6.9,31.816124,,,80.42212771,100.0,0.0
1214,CIV,1996.0,3.3721473,4.4600606,3.5,,,,,,84.0
1215,FIN,2019.0,20.752914,10.446481,,11.208948,,,81.64702187,99.44797,0.0
1216,BHR,2003.0,26.566842,11.167512,7.2,32.712402,,,70.65076259,99.9485,0.0
1217,DEU,2021.0,20.383865,10.837955,,12.299818,,,80.49140555,99.22589,0.0
1218,NGA,2013.0,8.9344248,6.6995911,4.3,19.149824,,75.0,61.04119261,37.33608,96.6
1219,DNK,2001.0,10.852598,3.8906053,6.0,25.773748,,,77.04219494,99.59724,0.0
1220,GUY,2000.0,14.188421,10.110158,5.8,26.3913,,,64.65122902,78.13068,0.0
1221,MLT,2002.0,27.172968,10.106142,8.8,54.049957,,,78.4088864,99.96516,0.0
1222,BGD,1995.0,0.51581995,8.4820114,4.6,,,,,,93.1
1223,MDV,2010.0,10.322921,5.6583896,7.9,24.485649,,,74.73135148,87.83942,6.7
1224,SYC,2004.0,21.485735,14.545947,7.9,21.925024,,,72.21510064,96.39151,0.0
1225,CPV,2019.0,14.193656,7.8363977,,29.705269,,,74.05989707,78.82496,20.3
1226,SOM,2021.0,14.010936,7.4692056,,18.095585,,,53.95143945,40.39141,95.7
1227,WB_LMI,1991.0,3.4776628,7.7536233,4.4,,,,,,
1228,MEX,2000.0,21.569821,12.713267,7.5,22.334234,8.9,,74.21831002,77.74752,17.4
1229,NIU,2000.0,54.859179,24.141611,17.4,18.313587,,,,100.0,25.3
1230,HTI,2018.0,9.6456476,19.00876,,26.821602,,,63.47163817,35.81745,96.0
1231,CUB,2019.0,20.011504,14.194703,,57.345818,,,77.66173555,90.65619,5.5
1232,LCA,2014.0,27.474174,16.164368,14.6,21.939201,,,76.28411905,82.72336,4.5
1233,EGY,2019.0,42.374185,23.392785,,33.346546,,,71.58973358,97.20056,0.1
1234,STP,2014.0,12.53103,10.004874,5.6,17.736584,,,70.26367532,38.4812,98.1
1235,LKA,1996.0,1.7706428,7.9954252,4.2,,,,,,86.5
1236,LBR,1994.0,3.0238179,7.5391866,3.7,,,,,,99.3
1237,WB_LMI,2000.0,4.9910758,9.248469,5.6,21.377205,,,62.60002727,,
1238,DMA,1997.0,15.455239,12.995636,7.2,,,,,,23.7
1239,JPN,2002.0,2.7750604,8.3425783,8.8,30.879328,,,82.10074471,99.99661,0.0
1240,WB_UMI,1993.0,6.1114158,5.1865153,5.1,,,,,,
1241,VNM,2011.0,0.76660826,4.9112391,4.6,22.124281,,,72.61270345,71.35788,43.4
1242,TUV,2003.0,54.440552,16.871847,17.6,35.969776,,,,81.49766,87.2
1243,KWT,2012.0,40.69007,18.370914,14.1,62.39357,,,81.34259433,100.0,0.0
1244,BRA,1996.0,10.664838,5.793792,5.3,,,,,,14.8
1245,DNK,2000.0,10.574538,3.8688678,6.0,26.487589,,,76.93482299,99.59724,0.0
1246,JAM,2013.0,27.095881,16.965725,11.5,34.171146,,11.0,74.2198557,85.39916,11.4
1247,BLZ,2006.0,30.655709,9.9608198,8.0,35.036781,,,72.62147619,84.37043,16.9
1248,BGR,1998.0,13.178268,7.5216398,7.7,,,,,,
1249,BHR,2016.0,33.615011,15.178391,,36.656734,,,75.65906707,100.0,0.0
1250,KNA,2000.0,28.621212,10.763793,9.2,31.999672,,,,86.45086,0.0
1251,HUN,2003.0,19.770236,9.1158807,8.4,19.218155,,,72.45014443,98.03628,0.0
1252,PHL,1995.0,2.475361,4.1394632,4.0,,,,,,69.7
1253,SLE,2006.0,5.076912,6.1803866,3.9,16.421185,,,52.49110548,10.15665,99.7
1254,AZE,1995.0,13.765778,7.2539598,6.1,,,,,,45.7
1255,KGZ,2000.0,12.728071,6.8672217,5.6,16.928844,42.1,,65.93470005,92.29962,46.7
1256,URY,2021.0,32.437822,16.608705,,33.551834,,,74.98295244,98.32588,0.0
1257,CHE,2003.0,11.184876,4.9546249,5.2,27.174139,,,80.40439825,99.881,0.0
1258,ASM,1997.0,67.294794,23.291363,,,,,,,
1259,BDI,2009.0,2.5808092,5.3433951,2.2,15.622261,,,58.71584557,45.92854,99.8
1260,CHE,2011.0,11.817372,5.2944556,5.4,23.274656,0.0,,82.36855875,99.884,0.0
1261,BIH,2010.0,16.707933,11.946005,8.9,17.123512,,,76.98324032,95.21849,55.05
1262,TTO,1995.0,17.329639,11.744475,5.1,,,,,,0.0
1263,COL,2002.0,12.788944,6.2960736,6.0,26.831955,14.3,,72.8310481,77.21658,20.2
1264,BWA,1993.0,7.0977226,5.1919553,3.6,,,,,,68.9
1265,CUB,2012.0,16.31844,12.962276,9.7,48.226879,,,78.42125643,87.21322,9.9
1266,COD,2001.0,2.4879511,6.1502408,3.0,18.433275,,,52.99713016,23.29258,98.8
1267,TCD,2003.0,2.794401,5.4212999,3.5,22.74342,62.9,,52.10728656,9.94081,97.7
1268,AUT,2004.0,13.04623,6.6861354,5.7,30.6882,0.0,,79.11359324,99.99653,0.0
1269,COD,1992.0,1.4109246,5.2664928,2.4,,,,,,99.7
1270,PHL,2019.0,7.6948173,9.5826022,,40.226852,,,69.42943033,81.25103,48.2
1271,TLS,2003.0,0.62705539,3.1198448,3.7,18.18771,,,64.51597993,36.55752,98.5
1272,TLS,1997.0,0.42644688,3.0815003,3.1,,,,,,99.4
1273,DEU,2015.0,20.405598,10.426805,,14.467711,0.0,,80.4259243,99.22485,0.0
1274,VNM,2020.0,1.7086007,9.5844619,,28.729143,,,74.77582966,88.49511,4.1
1275,PAK,2021.0,21.849452,25.214016,,44.727154,,,65.99092295,68.82427,48.7
1276,BHR,2004.0,27.21695,11.225366,7.2,33.015312,,,70.9253368,99.95339,0.0
1277,NZL,2013.0,29.729176,9.0060748,8.4,19.972769,,,81.36359879,100.0,0.0
1278,GLOBAL,2014.0,12.748039,11.069971,8.5,27.841467,,,71.94618807,71.76844,37.624892934
1279,NIU,2001.0,55.386192,24.880564,18.0,17.492113,,,,100.0,22.5
1280,RUS,2015.0,22.859383,8.5803553,,15.22437,0.0,,71.29790344,87.78612,0.0
1281,TKM,2018.0,19.765076,13.959552,,12.680366,,,69.07787312,98.59668,0.1
1282,BDI,1995.0,1.1605208,4.7942098,1.5,,,,,,99.6
1283,GAB,2012.0,15.545852,9.6818261,7.8,22.490898,,,62.66758728,46.15246,17.0
1284,NOR,1998.0,10.977218,5.9842687,6.2,,,,,,0.0
1285,PER,2002.0,12.93359,3.4582574,5.4,26.274481,15.0,,76.14080179,65.65336,51.5
1286,LAO,2005.0,3.2086454,4.6936352,4.8,16.088415,,,61.3511366,43.16435,97.9
1287,TUR,2003.0,25.789258,8.8043071,8.9,39.785152,4.2,,75.30413279,88.26962,8.3
1288,PRK,2015.0,7.7024452,10.758583,,24.357149,,,71.407681,81.66581,91.3
1289,ROU,1995.0,9.4554171,3.7119415,6.0,,,,,,0.0
1290,MLI,2001.0,3.908154,4.2456865,3.6,36.676918,58.5,,53.62181973,16.69419,99.2
1291,AUS,2013.0,26.137152,7.5832427,7.2,25.968069,,,82.46342447,99.99723,0.0
1292,TUV,2021.0,63.646001,13.384756,,24.8529,,,,83.53727,23.6
1293,AFG,1999.0,3.9287798,9.588021,5.5,,,,,,94.6
1294,WB_UMI,1999.0,7.199993,6.1374769,5.9,,,,,,
1295,TUN,2004.0,18.340953,9.3543515,8.6,24.432934,,,75.17294716,80.48798,3.2
1296,MWI,1997.0,1.7173706,4.7857076,2.9,,,,,,98.0
1297,MAR,2008.0,14.793803,13.082406,9.7,22.366932,,,71.88491111,76.02704,4.3
1298,NER,2003.0,2.4868287,4.7256127,3.2,21.690443,,,52.7806989,7.00441,99.0
1299,MYS,2001.0,9.8208427,10.191415,7.4,41.12001,,,73.51935373,93.28163,1.9
1300,LAO,2008.0,3.8081869,4.9097773,5.0,15.866677,,,63.1872824,51.16777,97.1
1301,MRT,1992.0,5.3820658,4.5472231,4.0,,,,,,81.3
1302,WB_LI,2011.0,6.2748417,7.1215734,4.5,17.569525,,,60.89766106,,
1303,USA,2007.0,33.800524,10.52855,8.2,31.310886,1.0,,77.94056193,99.87078,0.0
1304,TUN,1995.0,13.941973,7.7912927,6.5,,,,,,24.8
1305,KEN,1998.0,3.6933582,3.6110133,2.6,,,,,,98.8
1306,COG,2018.0,7.9849474,10.357554,,16.620956,,,63.05964242,20.26857,68.15
1307,LVA,1990.0,15.178297,5.4249935,7.7,,,,,,0.0
1308,NLD,1994.0,9.2400506,5.5714235,4.8,,,,,,0.0
1309,AZE,2014.0,22.468962,10.632339,11.6,22.838665,,,72.71925019,94.34202,3.6
1310,WB_LI,2020.0,8.7870181,8.3238885,,16.959099,,,64.20605991,,
1311,TUN,1996.0,14.385091,8.0120131,6.7,,,,,,20.9
1312,KAZ,2011.0,15.868527,8.2073435,10.5,22.150173,0.0,,69.12835849,97.46452,7.9
1313,PRK,2013.0,6.9838129,9.7864002,6.0,23.727299,,92.0,70.83607796,80.19895,92.7
1314,AFG,2001.0,4.5987189,10.138925,5.8,22.551735,,,53.91018761,20.98235,92.9
1315,KAZ,2010.0,15.669055,8.0898963,10.2,21.66099,0.1,,68.51031045,97.39587,8.5
1316,TZA,1997.0,3.0304421,4.7689702,2.9,,,,,,99.5
1317,BIH,2004.0,14.934306,9.0997569,8.3,15.891213,0.2,,76.62934847,95.12025,50.0
1318,ZMB,2006.0,5.12041,4.4350564,3.6,16.592583,60.5,,51.7626963,25.0632,84.1
1319,SWE,2001.0,12.503384,5.2269947,6.6,28.732277,,,79.66920996,99.19317,0.0
1320,CAF,1998.0,2.6179396,10.756706,3.6,,,,,,99.4
