,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
5892,JPN,2001.0,2.6795356,8.3678,8.7,30.330166,,,81.84225924,99.99956,0.0
5893,KEN,1994.0,2.86883,3.373405,2.3,,,,,,99.5
5894,NRU,2017.0,68.722552,21.239346,,37.119164,,,,65.93204,0.0
5895,IRN,1990.0,10.665608,5.2723352,4.7,,,,,,29.3
5896,MNG,1994.0,8.5260868,5.4451101,5.1,,,,,,78.8
5897,KNA,1991.0,20.623384,8.3702892,7.0,,,,,,0.0
5898,AFR,2019.0,11.035548,7.9416759,,17.645485,,,64.16988115,34.80706,79.38
5899,SVK,2022.0,26.824254,12.294708,,23.295132,,,,97.53636,0.0
5900,MAR,2006.0,13.907145,12.364534,9.0,22.183969,3.1,,71.42901619,74.12863,5.3
5901,BHS,1995.0,23.569134,8.8840522,7.7,,,,,,0.0
5902,AUS,1999.0,18.834095,4.9440134,6.6,,,,,,0.0
5903,PER,2009.0,16.402382,5.7399027,6.1,28.241692,7.0,,78.11832326,70.63616,36.0
5904,CHE,2009.0,11.790486,5.2305393,5.4,24.263037,0.0,,81.89043047,99.88111,0.0
5905,SAU,2014.0,36.221495,16.25945,14.4,54.464809,,,77.22323995,95.28281,0.0
5906,TLS,2009.0,0.93197543,3.4875162,3.9,20.22534,,,66.64368547,43.93725,96.1
5907,EMR,1990.0,10.064685,8.007466,5.7,,,,,,61.9
5908,BLR,2009.0,20.586139,6.4092517,8.8,16.58876,0.0,,70.47736788,94.63535,1.5
5909,ERI,1993.0,0.79396321,4.6182521,1.9,,,,,,98.3
5910,ASM,2000.0,68.449354,26.431394,,,,,,,
5911,ARG,1992.0,13.710433,6.574484,7.9,,,,,,10.1
5912,IRN,2022.0,24.266586,14.542022,,46.278023,,,,90.36473,4.1
5913,DOM,2010.0,20.976385,10.30486,8.3,31.622175,2.5,,73.80111624,82.53122,12.9
5914,KGZ,2018.0,24.041782,9.9715881,,18.998024,,,73.2888512,97.66373,22.2
5915,GEO,1993.0,14.937687,8.6163945,7.7,,,,,,61.6
5916,COG,2010.0,7.1424797,9.0002559,5.1,18.771524,,,60.60462815,16.08231,83.1
5917,LKA,1997.0,1.9138187,8.1552543,4.3,,,,,,85.6
5918,BIH,2016.0,18.690492,15.58461,,18.831182,,,77.13183233,95.33615,58.4
